benchmark,low_threshold,high_threshold,baseline_missed_hotspot_rate,missed_hotspot_rate,improvement_pp,referral_rate
1,0.3,0.7,0.469,0.2788,19.0265,0.0732
1,0.2,0.8,0.469,0.1681,30.0885,0.1211
1,0.1,0.9,0.469,0.0354,43.3628,0.2029
2,0.3,0.7,0.006,0.006,-0.0,0.0066
2,0.2,0.8,0.006,0.004,0.2008,0.0112
2,0.1,0.9,0.006,0.004,0.2008,0.0172
3,0.3,0.7,0.0205,0.0199,0.0553,0.0048
3,0.2,0.8,0.0205,0.0194,0.1106,0.0079
3,0.1,0.9,0.0205,0.0188,0.1659,0.013
4,0.3,0.7,0.0282,0.0226,0.565,0.0075
4,0.2,0.8,0.0282,0.0226,0.565,0.0123
4,0.1,0.9,0.0282,0.0169,1.1299,0.0199
5,0.3,0.7,0.0732,0.0732,0.0,0.0103
5,0.2,0.8,0.0732,0.0244,4.878,0.0196
5,0.1,0.9,0.0732,0.0244,4.878,0.0309
