benchmark,low_threshold,high_threshold,true_class,n_total,n_safe,n_needs_check,n_risky
1,0.1,0.9,true_HS,226,8,204,14
1,0.1,0.9,true_NHS,4679,3886,791,2
1,0.2,0.8,true_HS,226,38,136,52
1,0.2,0.8,true_NHS,4679,4204,458,17
1,0.3,0.7,true_HS,226,63,90,73
1,0.3,0.7,true_NHS,4679,4355,269,55
2,0.1,0.9,true_HS,498,2,4,492
2,0.1,0.9,true_NHS,41298,40108,713,477
2,0.2,0.8,true_HS,498,2,3,493
2,0.2,0.8,true_NHS,41298,40269,467,562
2,0.3,0.7,true_HS,498,3,1,494
2,0.3,0.7,true_NHS,41298,40373,276,649
3,0.1,0.9,true_HS,1808,34,8,1766
3,0.1,0.9,true_NHS,46333,43747,620,1966
3,0.2,0.8,true_HS,1808,35,3,1770
3,0.2,0.8,true_NHS,46333,43865,378,2090
3,0.3,0.7,true_HS,1808,36,2,1770
3,0.3,0.7,true_NHS,46333,43939,231,2163
4,0.1,0.9,true_HS,177,3,5,169
4,0.1,0.9,true_NHS,31890,30328,633,929
4,0.2,0.8,true_HS,177,4,2,171
4,0.2,0.8,true_NHS,31890,30451,391,1048
4,0.3,0.7,true_HS,177,4,2,171
4,0.3,0.7,true_NHS,31890,30527,238,1125
5,0.1,0.9,true_HS,41,1,3,37
5,0.1,0.9,true_NHS,19327,17897,595,835
5,0.2,0.8,true_HS,41,1,3,37
5,0.2,0.8,true_NHS,19327,18039,376,912
5,0.3,0.7,true_HS,41,3,1,37
5,0.3,0.7,true_NHS,19327,18162,199,966
