benchmark,low_threshold,high_threshold,total_pictures,n_safe,n_risky,n_needs_check,screening_rate,flagged_rate,referral_rate,total_real_hotspots,missed_hotspots_marked_safe,missed_hotspot_rate,total_real_nonhotspots,nonhotspot_referred_or_flagged
1,0.3,0.7,4905,4418,128,359,0.9007135575942915,0.026095820591233436,0.07319062181447503,226,63,0.27876106194690264,4679,324
1,0.2,0.8,4905,4242,69,594,0.8648318042813455,0.014067278287461774,0.12110091743119267,226,38,0.168141592920354,4679,475
1,0.1,0.9,4905,3894,16,995,0.7938837920489297,0.0032619775739041795,0.20285423037716616,226,8,0.035398230088495575,4679,793
2,0.3,0.7,41796,40376,1143,277,0.9660254569815293,0.027347114556416884,0.006627428462053785,498,3,0.006024096385542169,41298,925
2,0.2,0.8,41796,40271,1055,470,0.9635132548569241,0.025241649918652503,0.01124509522442339,498,2,0.004016064257028112,41298,1029
2,0.1,0.9,41796,40110,969,717,0.959661211599196,0.023184036749928222,0.017154751650875683,498,2,0.004016064257028112,41298,1190
3,0.3,0.7,48141,43975,3933,233,0.9134625371305124,0.08169751355393531,0.0048399493155522316,1808,36,0.01991150442477876,46333,2394
3,0.2,0.8,48141,43900,3860,381,0.9119046135310858,0.08018113458382668,0.007914251885087556,1808,35,0.019358407079646017,46333,2468
3,0.1,0.9,48141,43781,3732,628,0.9094327080866621,0.0775222783074718,0.013045013605866101,1808,34,0.018805309734513276,46333,2586
4,0.3,0.7,32067,30531,1296,240,0.9521002900177753,0.04041538029750211,0.0074843296847226124,177,4,0.022598870056497175,31890,1363
4,0.2,0.8,32067,30455,1219,393,0.9497302522842798,0.03801415785698693,0.012255589858733278,177,4,0.022598870056497175,31890,1439
4,0.1,0.9,32067,30331,1098,638,0.9458633486138398,0.03424080830760595,0.019895843078554278,177,3,0.01694915254237288,31890,1562
5,0.3,0.7,19368,18165,1003,200,0.9378872366790583,0.051786451879388684,0.010326311441553077,41,3,0.07317073170731707,19327,1165
5,0.2,0.8,19368,18040,949,379,0.9314332920280876,0.04899834779016935,0.019568360181743082,41,1,0.024390243902439025,19327,1288
5,0.1,0.9,19368,17898,872,598,0.9241016109045849,0.04502271788517142,0.0308756712102437,41,1,0.024390243902439025,19327,1430
