benchmark,low_threshold,high_threshold,screening_rate,flagged_rate,referral_rate
1,0.3,0.7,0.9007,0.0261,0.0732
1,0.2,0.8,0.8648,0.0141,0.1211
1,0.1,0.9,0.7939,0.0033,0.2029
2,0.3,0.7,0.966,0.0273,0.0066
2,0.2,0.8,0.9635,0.0252,0.0112
2,0.1,0.9,0.9597,0.0232,0.0172
3,0.3,0.7,0.9135,0.0817,0.0048
3,0.2,0.8,0.9119,0.0802,0.0079
3,0.1,0.9,0.9094,0.0775,0.013
4,0.3,0.7,0.9521,0.0404,0.0075
4,0.2,0.8,0.9497,0.038,0.0123
4,0.1,0.9,0.9459,0.0342,0.0199
5,0.3,0.7,0.9379,0.0518,0.0103
5,0.2,0.8,0.9314,0.049,0.0196
5,0.1,0.9,0.9241,0.045,0.0309
